telescope,z_low,z_high,z_mid,z_obs_low,z_obs_high,z_effective,coverage_fraction,var_noise_mK2,rms_noise_mK,supported_mode_fraction,effective_mode_count,status,kperp_min_envelope_Mpc_inv,kperp_max_envelope_Mpc_inv,kpar_min_Mpc_inv,kpar_min_lattice_Mpc_inv,k_max_Mpc_inv,voxel_side_Mpc,t_obs_hours,baseline_source,variance_estimator
hirax_interferom,0.9527075,0.9627075,0.9577075,0.9527075,0.9627075,0.9577154128186957,1.0,0.022601789724117426,0.15033891619975656,0.991250695102851,69181200.00000001,ok,0.027617325972385198,0.3629928211773771,0.002282930942613998,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,0.9627075,0.9727075000000001,0.9677075,0.9627075,0.9727075000000001,0.9677152471066877,1.0,0.023127432588852203,0.15207706135000176,0.9915129659115087,69199504.35969181,ok,0.027266991169386513,0.3629928818239561,0.002273267502827359,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,0.9727075000000001,0.9827075000000001,0.9777075000000001,0.9727075000000001,0.9827075000000001,0.977715085313232,1.0,0.023660280592946843,0.15381898645143532,0.9917895167436973,69218805.34835827,ok,0.026924577995684297,0.3629929413731475,0.002263738781455711,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,0.9827075000000001,0.9927075000000001,0.9877075000000001,0.9827075000000001,0.9927075000000001,0.9877149273187228,1.0,0.02419637216140626,0.1555518311091395,0.9919495337510151,69229973.22813012,ok,0.02658983279099877,0.36299299985356753,0.0022543418791112365,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,0.9927075000000001,1.0027075,0.9977075000000001,0.9927075000000001,1.0027075,0.9977147730081142,1.0,0.024738728227296055,0.15728549910050849,0.9920950346193816,69240128.0,ok,0.02626251235015532,0.362993057292901,0.0022450739748775986,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.0027075,1.0127075,1.0077075,1.0027075,1.0127075,1.0077146222708109,1.0,0.02529159737132039,0.1590333215754497,0.9923572146884594,69258426.02681045,ok,0.025942383398131513,0.36299311371793713,0.0022359323238316958,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.0127075,1.0227075,1.0177075000000002,1.0127075,1.0227075,1.017714475000514,1.0,0.02584851638100442,0.16077473800633116,0.9925320433489628,69270627.63896346,ok,0.025629222094072243,0.3629931691546033,0.0022269142546538076,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.0227075,1.0327075,1.0277075,1.0227075,1.0327075,1.0277143310948278,1.0,0.02641223379638744,0.1625184106382641,0.992706521786932,69282804.80844486,ok,0.02532281356574775,0.3629932236279976,0.0022180171673227534,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.0327075,1.0427075000000001,1.0377075,1.0327075,1.0427075000000001,1.0377141904552365,1.0,0.02698285103205226,0.16426457631532204,0.9928812113029261,69294996.70944789,ok,0.025022951471382268,0.3629932771624202,0.002209238530892188,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.0427075000000001,1.0527075,1.0477075,1.0427075000000001,1.0527075,1.0477140529869247,1.0,0.0275583494413779,0.1660070764798233,0.9929978027234647,69303133.83804959,ok,0.024729437585407018,0.36299332978140303,0.0022005758813453073,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
