entered_mK2,exited_mK2,density_change_mK2,other_response_change_mK2,entered_modes,exited_modes,interpolation_groups_changed,parallel_floor_changed,redshift_weight_change_mK2,telescope,z_before,z_after,variance_before,variance_after,relative_change,abs_log_ratio
0.0009631726193585091,0.0,-0.002893178335008177,0.013217902301435804,150420.3806343426,0.0,3071.9300612898946,0.0,-2.4846141351165526e-07,ska_mid1_interferom,0.8349779396023108,0.8449777138308954,0.3370387650042429,0.34832641312861545,0.03349065240086093,0.03294205549390746
0.0009446259087189776,0.0,-0.0028972488376372823,0.013531282895461275,143440.0547321975,0.0,3061.662486211236,0.0,-2.52492980383839e-07,ska_mid1_interferom,0.8449777138308954,0.8549774939379134,0.34832641312861545,0.3599048206021781,0.033240107660992835,0.032699600360479426
0.0009936510717818631,0.0,-0.0028978262781821254,0.013850548966724857,146839.8953906664,0.0,3257.4949801666667,0.0,-2.534172611810726e-07,ska_mid1_interferom,0.8549774939379134,0.8649772797213726,0.3599048206021781,0.3718509409452415,0.033192443277296625,0.032653468311617515
0.000819674451792931,0.0,-0.002906860131981671,0.014178507409094203,117967.25751688924,0.0,3158.865755819246,0.0,-2.547324272272982e-07,ska_mid1_interferom,0.8649772797213726,0.8749770709883379,0.3718509409452415,0.38394200794171973,0.032515897272554536,0.03199844260866496
0.0009357665410655191,0.0,-0.002916689500974732,0.014506552347593526,130990.38866985329,0.0,3052.533639655514,0.0,-2.503914031887592e-07,ska_mid1_interferom,0.8749770709883379,0.8849768675543649,0.38394200794171973,0.3964673869380009,0.032623101242368946,0.03210226513101124
0.0009113545887564664,0.0,-0.002935952454536754,0.014845546205903792,124031.35079613308,0.0,3245.159889060279,0.0,-2.494991213512633e-07,ska_mid1_interferom,0.8849768675543649,0.8949766692429124,0.3964673869380009,0.409288085779003,0.032337335335496355,0.03182548897236433
0.0008592091278009184,0.0,-0.002983055520558933,0.015190076229572042,113975.45521189393,0.0,3250.424831586425,0.0,-2.5462158652833365e-07,ska_mid1_interferom,0.8949766692429124,0.9049764758851316,0.409288085779003,0.4223540609942305,0.031923663720527996,0.031424695060455886
0.000921334278275884,0.0,-0.003050619533737059,0.015538220352886165,118984.98611314796,0.0,3088.831844467257,0.0,-2.503117881591871e-07,ska_mid1_interferom,0.9049764758851316,0.9149762873192346,0.4223540609942305,0.43576274577986734,0.031747498186882606,0.03125396482268825
0.0008441190376030186,0.0,-0.003131159797467308,0.01589346656044837,106214.25432499015,0.0,3222.2821499995557,0.0,-2.472353606776038e-07,ska_mid1_interferom,0.9149762873192346,0.9249761033902332,0.43576274577986734,0.44936892434509074,0.031223822359740628,0.03074627396613147
0.0009252400666221852,0.0,-0.0032090394822853942,0.016250420804587738,113477.99569062449,0.0,3297.913692926214,0.0,-2.47516410286396e-07,ska_mid1_interferom,0.9249761033902332,0.9349759239496664,0.44936892434509074,0.463335298217605,0.031079972636890326,0.030606770054600496
0.000821705186970767,0.0,-0.0032858943269326955,0.016614917388441022,98358.06984530194,0.0,3164.416920686953,0.0,-2.51412656733074e-07,ska_mid1_interferom,0.9349759239496664,0.9449757488550348,0.463335298217605,0.4774857750534274,0.030540467972670238,0.030083390807957137
0.000878831407447911,0.0,-0.003362229048156467,0.01698056872525449,102419.0723187431,0.0,3181.7219426441284,0.0,-2.448237541640069e-07,ska_mid1_interferom,0.9449757488550348,0.9549755779696892,0.4774857750534274,0.4919827013142191,0.030360959463493202,0.029909186930720567
0.0007856395344400179,0.0,-0.0034535943472772494,0.017353089985309128,89342.44967574264,0.0,3337.8812322176645,0.0,-2.4617458608797814e-07,ska_mid1_interferom,0.9549755779696892,0.964975411162517,0.4919827013142191,0.506667590312105,0.02984838482869117,0.029411592211234155
0.0008869185771989453,0.0,-0.0035573796560352056,0.017726830501250058,98376.0794525703,0.0,3226.957714349456,0.0,-2.426751411542292e-07,ska_mid1_interferom,0.964975411162517,0.9749752483075328,0.506667590312105,0.5217237170593776,0.029715985460996488,0.029283021946777236
0.0007895870107891769,0.0,-0.003673406956061331,0.01810816051025045,85352.99058389277,0.0,3197.1060983943435,0.0,-2.385872531649774e-07,ska_mid1_interferom,0.9749752483075328,0.984975089283782,0.5217237170593776,0.5369478190371026,0.029180390846583644,0.02876274843261939
