telescope,z,z_low,z_high,variance_mK2,mode_count,k_min_min,k_min_max,first_node_peak_kperp,first_node_peak_density,first_node_peak_group_fraction
ska_mid1_interferom,0.5749868559275676,0.5699676190476191,0.5799676190476191,0.11662661177836685,57027151.0377371,0.1279134219155489,0.12948153449530375,0.13757239137132957,0.0015513501578490506,0.00047856506796553015
ska_mid1_interferom,0.58498635743881,0.5799676190476191,0.5899676190476191,0.12266720818929017,57538042.01142094,0.12528834229376587,0.12677807322506948,0.13757239137132957,0.0015824863836542042,0.0004695837862782662
ska_mid1_interferom,0.5949858762960337,0.5899676190476191,0.5999676190476191,0.1288265565733422,58018912.80481235,0.1227298461557228,0.12419367820771951,0.13757239137132957,0.0016123106138349087,0.00046176557610532024
ska_mid1_interferom,0.6049854116579813,0.5999676190476191,0.609967619047619,0.1351573199431752,58473506.960918635,0.12030896650597063,0.12171118724562863,0.13757239137132957,0.0016424314771005992,0.0004544615982102567
ska_mid1_interferom,0.6149849627373841,0.609967619047619,0.619967619047619,0.14166523719626845,58893349.01440543,0.11795758915489163,0.11931171690061358,0.13757239137132957,0.0016729685385154154,0.00044738921198184947
ska_mid1_interferom,0.6249845287963656,0.619967619047619,0.629967619047619,0.14840095447193602,59296114.3260908,0.11567995241140845,0.11700037510135444,0.13757239137132957,0.0017039251713365186,0.0004403959413263155
ska_mid1_interferom,0.6349841091429956,0.629967619047619,0.639967619047619,0.15537718003445158,59690934.48372498,0.11348934379354819,0.11474749116749121,0.2355275694930816,0.0015977426370073708,0.0004347569023782036
ska_mid1_interferom,0.6449837031272238,0.639967619047619,0.649967619047619,0.16247327106896545,60042364.06019274,0.11137286910062895,0.11259225097520294,0.2355275694930816,0.0016005378068754687,0.0004355074410889859
ska_mid1_interferom,0.6549833101382365,0.649967619047619,0.659967619047619,0.16982684187865876,60396015.05241671,0.10933483361194957,0.11054944869191963,0.2355275694930816,0.0016029715255847282,0.0004360403190501872
ska_mid1_interferom,0.6649829296010924,0.659967619047619,0.6699676190476189,0.17733002808326842,60729372.59132156,0.107332941624305,0.10848669224560852,0.2355275694930816,0.0016050383588841891,0.0004369155566940325
ska_mid1_interferom,0.6749825609743139,0.6699676190476189,0.6799676190476189,0.18493921815285447,61038575.482499175,0.10547401771230963,0.10653484630745554,0.2355275694930816,0.001622721771250105,0.00043381088251928337
ska_mid1_interferom,0.6849822037474782,0.6799676190476189,0.6899676190476189,0.19271862779148546,61345843.13783188,0.10356234984368126,0.1046425600342499,0.10533113119236721,0.0017440467175497756,0.00047012393472145423
ska_mid1_interferom,0.6949818574387783,0.6899676190476189,0.699967619047619,0.20062255318275948,61631825.2552858,0.10176282922573636,0.10282288730452721,0.10533113119236721,0.0017752397713228522,0.00046416262016841636
ska_mid1_interferom,0.7049815215933805,0.699967619047619,0.709967619047619,0.2087473675142224,61905531.01240374,0.10005140423901149,0.10101019384458608,0.10533113119236721,0.0018068423180329471,0.0004582199209801926
ska_mid1_interferom,0.714981195781088,0.709967619047619,0.719967619047619,0.2171502309155458,62169109.67920488,0.09832040301641692,0.09928579625854123,0.10533113119236721,0.0018388574614738903,0.00045229721881927373
ska_mid1_interferom,0.7249808795950998,0.719967619047619,0.729967619047619,0.2258331605257338,62416983.10643086,0.09674536301734947,0.09764408997585948,0.10533113119236721,0.001871288306899494,0.0004463187317236172
ska_mid1_interferom,0.7349805726501474,0.729967619047619,0.739967619047619,0.23479963346719118,62660486.74429096,0.09508091499224038,0.09600568482416816,0.10533113119236721,0.0019030698257324489,0.00044078725325998947
ska_mid1_interferom,0.7449802745811362,0.739967619047619,0.749967619047619,0.2439361626299379,62884788.08712468,0.09356940152720444,0.09442393434626724,0.10533113119236721,0.0019344854709095573,0.00043545196079123276
ska_mid1_interferom,0.7549799850419799,0.749967619047619,0.759967619047619,0.25325407165517677,63097342.63134281,0.09206578979935685,0.09289092422236356,0.10533113119236721,0.0019662770988685564,0.0004304203708287193
ska_mid1_interferom,0.7649797037040454,0.759967619047619,0.769967619047619,0.26280541266599955,63310992.33848299,0.09058155841209051,0.09140910673957835,0.10533113119236721,0.0019984473097720847,0.00042542968096158205
ska_mid1_interferom,0.7749794302554139,0.769967619047619,0.779967619047619,0.27252130747126135,63512402.587872,0.0892302691384411,0.09003678558378633,0.10533113119236721,0.0020309987050283447,0.00042063794657948213
ska_mid1_interferom,0.7849791643995323,0.779967619047619,0.789967619047619,0.2842550803598082,64083182.04590819,0.08774384495373842,0.08855256108135384,0.10533113119236721,0.0020639338873522945,0.00041549784187805037
ska_mid1_interferom,0.7949789058543857,0.789967619047619,0.799967619047619,0.29441599181582456,64272629.322210126,0.08639465757316717,0.08719285774709017,0.10533113119236721,0.0020972554607169573,0.0004110145434680441
ska_mid1_interferom,0.8049786543517098,0.799967619047619,0.809967619047619,0.30471866175873075,64444300.5750078,0.08508308757801543,0.08589347691604837,0.10533113119236721,0.0021309660303861647,0.00040679268977588144
ska_mid1_interferom,0.8149784096358794,0.809967619047619,0.8199676190476191,0.31526266815930654,64614418.427859664,0.08381090102806428,0.08456226244850776,0.10533113119236721,0.002165068202928529,0.00040257877729835655
ska_mid1_interferom,0.8249781714634683,0.8199676190476191,0.829967619047619,0.32598594974707296,64770746.35200445,0.08264068779888241,0.08333032997355465,0.10533113119236721,0.0021995645861814144,0.00039848438869567173
ska_mid1_interferom,0.8349779396023108,0.829967619047619,0.839967619047619,0.3370387650042429,64934087.31208863,0.0813920083540418,0.08211659880569384,0.10533113119236721,0.0022344577893119244,0.00039444258039115457
ska_mid1_interferom,0.8449777138308954,0.839967619047619,0.849967619047619,0.34832641312861545,65084504.73264934,0.08019902277198668,0.08088465679799264,0.10533113119236721,0.0022697504227740125,0.00039053935828015
ska_mid1_interferom,0.8549774939379134,0.849967619047619,0.859967619047619,0.3599048206021781,65227941.37330036,0.07906425215547187,0.07978481423512362,0.13757239137132957,0.0021390688238548867,0.0003890551536767088
ska_mid1_interferom,0.8649772797213726,0.859967619047619,0.869967619047619,0.3718509409452415,65374777.94155554,0.07795160631474522,0.07858020675177227,0.13757239137132957,0.002147677509237743,0.0003895147262911744
ska_mid1_interferom,0.8749770709883379,0.869967619047619,0.879967619047619,0.38394200794171973,65492741.8729392,0.07686204608268377,0.07748652794633391,0.13757239137132957,0.002168992057443468,0.00038773682918541924
ska_mid1_interferom,0.8849768675543649,0.879967619047619,0.889967619047619,0.3964673869380009,65623729.72463162,0.07580981237773661,0.07640347698296476,0.2355275694930816,0.0020222681157928413,0.00038626712349081635
ska_mid1_interferom,0.8949766692429124,0.889967619047619,0.899967619047619,0.409288085779003,65747758.80842337,0.07479648054047797,0.07543806324663621,0.2355275694930816,0.0020330281719512476,0.0003862095279779834
ska_mid1_interferom,0.9049764758851316,0.899967619047619,0.909967619047619,0.4223540609942305,65861731.38344796,0.07375561855747473,0.0743656836930483,0.2355275694930816,0.0020436431419113606,0.00038608714976675403
ska_mid1_interferom,0.9149762873192346,0.909967619047619,0.919967619047619,0.43576274577986734,65980714.08332111,0.07278267322649322,0.07333239911273176,0.2355275694930816,0.002054110589198144,0.00038596573088612804
ska_mid1_interferom,0.9249761033902332,0.919967619047619,0.929967619047619,0.44936892434509074,66086926.42619984,0.07185246063258185,0.07239538145248184,0.2355275694930816,0.002064428076112034,0.00038600837122492864
ska_mid1_interferom,0.9349759239496664,0.929967619047619,0.939967619047619,0.463335298217605,66200402.424812846,0.0708675555744402,0.07150226622586986,0.15539360769950608,0.002167614280906548,0.0003808647860938809
ska_mid1_interferom,0.9449757488550348,0.939967619047619,0.9499676190476192,0.4774857750534274,66298757.99787386,0.06996928850447211,0.0704839857534539,0.14896071427234547,0.0022259180527690794,0.0003794188169820123
ska_mid1_interferom,0.9549755779696892,0.9499676190476192,0.959967619047619,0.4919827013142191,66401175.34662963,0.06910294116295136,0.06958076708702464,0.14896071427234547,0.0022322341411357043,0.0003802867760946219
ska_mid1_interferom,0.964975411162517,0.959967619047619,0.969967619047619,0.506667590312105,66490515.881815836,0.06818142986250729,0.06869490673278608,0.14896071427234547,0.002238282299980989,0.0003812229540707775
ska_mid1_interferom,0.9749752483075328,0.969967619047619,0.979967619047619,0.5217237170593776,66588890.37534058,0.06733681581770001,0.06782708482247567,0.14896071427234547,0.0022576850264761222,0.0003798400345325937
