telescope,z,variance_mK2,mode_count,peak_kperp,peak_density,peak_group_fraction,peak_zero_edge_gap
chime_icyl,1.2734616274989619,0.1910695005356025,66603408,0.35433777787220105,0.03533955026764667,0.001300751062423569,0.290838185664793
chime_icyl,1.2737116253909282,0.1924523949994019,66603408,0.35433777787220105,0.037185809960135735,0.0012282210646495813,0.2908535222661378
chime_icyl,1.2739616232828948,0.19384137199368268,66603408,0.35874490588698066,0.034181785854136226,0.001221147061804385,0.295275980147889
chime_icyl,1.274211621174861,0.19531377248086335,66603408,0.360740468165931,0.01134102268364719,0.0012853512259640106,0.29728686556367473
chime_icyl,1.2744616190668276,0.19691754762209934,66611440,0.3605957087427002,0.011671390423213438,0.0012998903703152428,0.2971574225513768
chime_icyl,1.2747116169587942,0.19850792545842483,66611440,0.3605957087427002,0.011488694322052549,0.001310978432900808,0.29717273224063734
chime_icyl,1.2749616148507605,0.200096646991043,66611440,0.35996030713001353,0.0185084783210562,0.0013775790917306793,0.2965526335997656
chime_icyl,1.275211612742727,0.2017925899788195,66611440,0.35996030713001353,0.01722615807512288,0.0014688033661177428,0.2965679298583581
chime_icyl,1.2754616106346934,0.20356463665106594,66611440,0.35996030713001353,0.015943216520732162,0.0015743787085768476,0.2965832194079482
chime_icyl,1.27571160852666,0.20537794664851158,66619472,0.35996030713001353,0.014659653540371702,0.0016984004971252297,0.2965985022527528
chime_icyl,1.2759616064186263,0.20717886490738743,66619472,0.35996030713001353,0.013375469016522644,0.0018466867811978034,0.29661377839698544
chime_icyl,1.2762116043105929,0.20914781824451947,66619472,0.35996030713001353,0.012090662831663655,0.002025229753394153,0.2966290478448561
chime_icyl,1.2764616022025594,0.21114582187506536,66623488,0.35996030713001353,0.011373930189881568,0.0021340996147897976,0.29664431060057145
chime_icyl,1.2767116000945258,0.21311516033010064,66623488,0.35996030713001353,0.01179958951882175,0.0020396536856112733,0.29665956666833454
chime_icyl,1.2769615979864923,0.21506989197224766,66623488,0.35996030713001353,0.012225453497650638,0.001952194013458065,0.2966748160523451
chime_icyl,1.2772115958784587,0.21708191353384376,66627504,0.35996030713001353,0.012651522164964185,0.0018703849264201037,0.2966900587567993
chime_icyl,1.2774615937704252,0.21917084795019595,66631520,0.35996030713001353,0.01307779555935417,0.001793535095586776,0.29670529478589
chime_icyl,1.2777115916623916,0.22111929901158717,66631040,0.35996030713001353,0.013504273719414239,0.001722896056292046,0.2967205241438061
chime_icyl,1.2779615895543581,0.22299666478689603,66630192,0.35874490588698066,0.021176085748157318,0.0017343876207581465,0.2955203455917008
chime_icyl,1.2782115874463247,0.22456991387766903,66628048,0.35874490588698066,0.019894631527459933,0.0018345620195070313,0.2955355616198221
chime_icyl,1.278461585338291,0.2263771806351912,66634352,0.35874490588698066,0.018612557126939412,0.001946752685168522,0.2955507709893159
chime_icyl,1.2787115832302576,0.2279452680695136,66632192,0.35874490588698066,0.01732986242948466,0.0020780372611772127,0.2955659737043579
chime_icyl,1.278961581122224,0.22947657820322026,66629968,0.35874490588698066,0.016046547317987662,0.0022309434700749603,0.29558116976912013
chime_icyl,1.2792115790141905,0.23113697522687268,66627744,0.35874490588698066,0.014762611675338676,0.0024093803703211527,0.2955963591877714
chime_icyl,1.279461576906157,0.23308198279562292,66634000,0.35874490588698066,0.013478055384410253,0.002618975630152915,0.2956115419644771
chime_icyl,1.2797115747981234,0.23426388393497152,66630944,0.35874490588698066,0.012192878328082832,0.0028826052859359987,0.2956267181033993
chime_icyl,1.27996157269009,0.23598854204500253,66628912,0.35874490588698066,0.011386402227781166,0.0030665399808829314,0.2956418876086967
chime_icyl,1.2802115705820563,0.23735300454459737,66625216,0.35874490588698066,0.011812187813727313,0.002941238593482353,0.29565705048452445
chime_icyl,1.2804615684740228,0.23889478165262878,66621840,0.35874490588698066,0.01223817775502631,0.0028226766334360307,0.2956722067350345
chime_icyl,1.2807115663659892,0.2400536317666573,66617488,0.35874490588698066,0.012664372090142952,0.0027165754535320615,0.29568735636437526
chime_icyl,1.2809615642579557,0.24120130661970168,66613536,0.35874490588698066,0.013090770857545234,0.0026175679006389466,0.2957024993766919
chime_icyl,1.2812115621499223,0.24264289894925514,66610016,0.35874490588698066,0.01351737409570436,0.002521807803530034,0.2957176357761261
chime_icyl,1.2814615600418886,0.24372847923529764,66605424,0.35874490588698066,0.013944181843089197,0.0024355755681616954,0.2957327655668164
chime_icyl,1.2817115579338552,0.24464720053290379,66600016,0.35874490588698066,0.014371194138169969,0.0023561166700978024,0.2957478887528977
chime_icyl,1.2819615558258215,0.24669472327996883,66598256,0.35996030713001353,0.009000264579257677,0.00234714600684879,0.2969784065815346
chime_icyl,1.282211553717788,0.24699067858220855,66590440,0.35996030713001353,0.008144225202105088,0.002592709036754947,0.2969935165707897
chime_icyl,1.2824615516097544,0.24849209241484238,66586376,0.35996030713001353,0.00728777277545262,0.0028820768050673256,0.2970086199678207
chime_icyl,1.282711549501721,0.24955754976911595,66584632,0.35996030713001353,0.0064309072214798445,0.003254608611485956,0.2970237167767492
hirax_interferom,0.7827191020928052,0.014456950348655424,68805408,0.10533113119236721,0.5914392206276623,0.0004106807620775793,
hirax_interferom,0.7829690956780687,0.01446702635452178,68805408,0.10533113119236721,0.5916051092167286,0.00041068132121329347,
hirax_interferom,0.7832190892633322,0.014477106123890715,68805408,0.10533113119236721,0.5917710210669898,0.0004106818803409795,
hirax_interferom,0.7834690828485957,0.014487189657000202,68805408,0.10533113119236721,0.5919369561784452,0.00041068243946062354,
hirax_interferom,0.7837190764338593,0.01449727695408843,68805408,0.10533113119236721,0.5921029145510947,0.0004106829985722109,
hirax_interferom,0.7839690700191229,0.014507368015393773,68805408,0.10533113119236721,0.5922688961849387,0.0004106835576757281,
hirax_interferom,0.7842190636043864,0.014517462841154783,68805408,0.10533113119236721,0.5924349010799773,0.00041068411677116086,
hirax_interferom,0.7844690571896499,0.014527561431610159,68805408,0.10533113119236721,0.5926009292362101,0.00041068467585849534,
hirax_interferom,0.7847190507749134,0.014537663786998839,68805408,0.10533113119236721,0.5927669806536373,0.00041068523493771754,
hirax_interferom,0.784969044360177,0.01454776990755978,68805408,0.10533113119236721,0.5929330553322589,0.0004106857940088131,
hirax_interferom,0.7852190379454405,0.01455787979353228,68805408,0.10533113119236721,0.5930991532720749,0.00041068635307176817,
hirax_interferom,0.785469031530704,0.014567993445155686,68805408,0.10533113119236721,0.5932652744730853,0.000410686912126569,
hirax_interferom,0.7857190251159676,0.014578110862669599,68805408,0.10533113119236721,0.59343141893529,0.00041068747117320155,
hirax_interferom,0.7859690187012311,0.014589316704404668,68809456,0.10533113119236721,0.593597586658689,0.00041065749717821096,
hirax_interferom,0.7862190122864947,0.014599442409007863,68809456,0.10533113119236721,0.5937637776432825,0.0004106580561167522,
hirax_interferom,0.7864690058717582,0.014609571880503743,68809456,0.10533113119236721,0.5939299918890703,0.00041065861504708477,
